Player,3P,2P,TS%,ORB%,DRB%,DBPM,BLK%,STL%,AST%,AST/TOV
Kevin Love,0.7470132097381234,0.43989107257965354,0.8277297921762797,0.8042536074246247,0.9476864703235949,0.5616788898984344,0.4605309765727568,0.2889228358722446,0.4695454782760211,0.45394488116819715
Kevin Martin,0.7807522503207045,0.3359479549898745,0.884899716875414,0.22302939031331917,0.38730968005224664,0.09568589447938627,0.17407059677069786,0.481901478343649,0.40776355893622973,0.438162259734187
Kevin McHale*,0.3210981422054303,0.8304294481966661,0.9377063965988605,0.7240245324738827,0.6600692810214891,0.6115977726141006,0.6970802643670381,0.14929927876627297,0.2840710147884593,0.33192037581123096
Kevin Ollie,0.30183270627020603,0.11963180322583253,0.3396149353837158,0.16449102675530702,0.37790428336840853,0.25298958817618933,0.12809741441094347,0.5983891145637468,0.7203127729073033,0.888986952898055
Kevin Porter,0.22060813623417513,0.6171900607152832,0.5144817052689937,0.18688249626038853,0.1485126393997025,0.11866328774620019,0.146519896792357,0.6582780727399749,0.9092168220541231,0.5918638762660511
Kevin Restani,0.2909679295111147,0.48329434967589335,0.2969396273798242,0.6513350446749195,0.5936099660110187,0.37423181474125167,0.3108341731644437,0.2434209293836308,0.34152367355042695,0.31016109597646674
Kevin Seraphin,0.09297626683771648,0.6543499529623152,0.4329594485817374,0.695750088668606,0.6547636419609053,0.5836546172855297,0.7382434497057061,0.17220509262237646,0.19341032209736742,0.21174640886377888
Kevin Stacom,0.23578618652507327,0.6091189798641266,0.12279756773991116,0.412574127216757,0.2271446931487101,0.14461268708086053,0.11940112471530802,0.32573537993312995,0.586555502023805,0.2816978344584003
Kevin Willis,0.3102973301733257,0.6819925924463732,0.5178077558736404,0.8602482887596323,0.8548660597937606,0.36003704840734096,0.5018373334684751,0.364792624336602,0.1504142760869153,0.20127220148177083
Keyon Dooling,0.6200892298586185,0.17544106654257063,0.4878105428012487,0.11880620288295998,0.21689630858424155,0.14636813608456117,0.2213264164823485,0.5716867216042671,0.6404323907330925,0.6937755927086877
Khalid Reeves,0.7115059212113096,0.11818078608832247,0.5452317587125557,0.31091256080562363,0.27373560647015877,0.1420619338542164,0.2333848903998056,0.6653745183896846,0.7425936336460952,0.6837023000195124
Khris Middleton,0.7498994233943489,0.28918779614513546,0.7819852129019819,0.2225630134000299,0.48913627511969526,0.2899644709800899,0.30469269803705634,0.742429221661652,0.5471533381652767,0.6064826439905365
Kiki Vandeweghe,0.44161700098314294,0.8607968310887192,0.9082325369856343,0.3938143337317247,0.27820628745409515,0.07251969428098513,0.2820087152327291,0.21461776028904628,0.37981864078309807,0.5014987357910761
Kim Hughes,0.09297626683771648,0.08417278336139575,0.11362325356969255,0.7697920683263357,0.7327564275811089,0.9509092494284777,0.7298061079484396,0.8143199517614482,0.23950586919931205,0.2552123765663339
